x,V,Ib,gap_mm,D_mm,t,width,height,width_in,height_in,Ia,IE,config,test,duration2,Iameas,Wh,D_in,IEmeas,Ia2002,IE2002,Ibf1,IErate,IEratemeas,joules,energyratio
1,14.4,8.85,254.0,914.4,516.6666667,914.4,914.4,36,36,8.330702988,5.307731744,EPRI HCB-example,,,,,,,8.607266207,5.649501872,,10.273029181272708,,,
2,14.4,8.85,254.0,914.4,516.6666667,914.4,914.4,36,36,8.525517669,8.633663244,EPRI HCB-example,,,,,,,8.607266207,5.649501872,,16.710315955050948,,,
3,14.4,8.85,254.0,914.4,516.6666667,914.4,914.4,36,36,7.994458756,11.25881771,EPRI HCB-example,,,,,,,8.607266207,5.649501872,,21.791260082465083,,,
3,14.4,5.176,254.0,914.4,177.7,914.4,914.4,36,36,4.677133243,2.493439373,EPRI HCB,4,177.7,5.4,263.0,36,2.5,5.080148004,1.098879756,,14.031735357343841,14.068655036578503,946800.0,2.6404731727925643
3,14.4,5.176,254.0,914.4,341.6,914.4,914.4,36,36,4.677133243,4.164395216,EPRI HCB,5,341.6,5.3,665.0,36,8.0,5.080148004,2.112421636,,12.1908525058548,23.419203747072597,2.394e6,3.3416875522138683
3,14.4,5.176,254.0,914.4,508.9,914.4,914.4,36,36,4.677133243,6.20392484,EPRI HCB,6,508.9,5.3,1120.0,36,13.0,5.080148004,3.14698879,,12.190852505403813,25.545293770878367,4.032e6,3.2242063492063493
3,14.4,5.176,254.0,914.4,341.1,914.4,914.4,36,36,4.677133243,4.15829979,EPRI HCB,7,341.1,5.3,680.0,36,8.1,5.080148004,2.109329684,,12.190852506596306,23.7467018469657,2.448e6,3.3088235294117645
3,14.4,5.176,254.0,914.4,341.8,914.4,914.4,36,36,4.677133243,4.166833386,EPRI HCB,8,341.8,5.3,668.0,36,7.8,5.080148004,2.113658417,,12.190852504388532,22.82036278525453,2.4048e6,3.2435129740518964
3,14.4,5.176,254.0,914.4,508.0,914.4,914.4,36,36,4.677133243,6.192953073,EPRI HCB,9,508.0,5.2,1100.0,36,14.8,5.080148004,3.141423276,,12.190852505905513,29.133858267716537,3.96e6,3.7373737373737375
3,14.4,5.176,254.0,914.4,508.4,914.4,914.4,36,36,4.677133243,6.197829414,EPRI HCB,10,508.4,5.3,1080.0,36,13.9,5.080148004,3.143896838,,12.190852505900867,27.34067663257278,3.888e6,3.575102880658436
3,14.4,5.176,254.0,914.4,757.5,914.4,914.4,36,36,4.677133243,9.234570773,EPRI HCB,11,757.5,5.2,1660.0,36,19.8,5.080148004,4.684307345,,12.190852505610561,26.13861386138614,5.976e6,3.3132530120481927
3,14.4,8.195,254.0,914.4,342.6,914.4,914.4,36,36,7.40222217,6.868339858,EPRI HCB,13,342.6,8.4,1250.0,36,9.8,7.980656631,3.452244189,,20.047693689433743,28.604786923525978,4.5e6,2.1777777777777776
3,14.4,8.195,254.0,914.4,343.7,914.4,914.4,36,36,7.40222217,6.890392322,EPRI HCB,14,343.7,8.4,1320.0,36,12.1,7.980656631,3.463328452,,20.047693692173407,35.20512074483561,4.752e6,2.5462962962962963
3,14.4,8.195,254.0,914.4,511.9,914.4,914.4,36,36,7.40222217,10.2624144,EPRI HCB,15,511.9,8.3,2080.0,36,22.1,7.980656631,5.158213077,,20.047693690173865,43.172494627857006,7.488e6,2.9513888888888893
3,14.4,8.195,254.0,914.4,512.7,914.4,914.4,36,36,7.40222217,10.27845256,EPRI HCB,16,512.7,8.3,2070.0,36,23.2,7.980656631,5.166274359,,20.0476937000195,45.25063389896626,7.452e6,3.113258185721954
3,14.4,8.195,254.0,914.4,211.2,914.4,914.4,36,36,7.40222217,4.234072907,EPRI HCB,17,211.2,8.4,806.0,36,8.8,7.980656631,2.128178554,,20.047693688446973,41.66666666666667,2.9016e6,3.032809484422388
3,14.4,8.195,254.0,914.4,209.7,914.4,914.4,36,36,7.40222217,4.204001367,EPRI HCB,18,209.7,8.5,806.0,36,9.3,7.980656631,2.11306365,,20.047693690987128,44.34907010014307,2.9016e6,3.2051282051282053
