Ib,gap_mm,D_mm,t,height_in,config,Iameas,D_in,IEmeas,joules,energyratio
5.176,254.0,914.4,177.7,36,EPRI HCB,5.4,36.0,2.5,946800.0,2.6404731727925643
5.176,254.0,914.4,341.6,36,EPRI HCB,5.3,36.0,8.0,2.394e6,3.3416875522138683
5.176,254.0,914.4,508.9,36,EPRI HCB,5.3,36.0,13.0,4.032e6,3.2242063492063493
5.176,254.0,914.4,341.1,36,EPRI HCB,5.3,36.0,8.1,2.448e6,3.3088235294117645
5.176,254.0,914.4,341.8,36,EPRI HCB,5.3,36.0,7.8,2.4048e6,3.2435129740518964
5.176,254.0,914.4,508.0,36,EPRI HCB,5.2,36.0,14.8,3.96e6,3.7373737373737375
5.176,254.0,914.4,508.4,36,EPRI HCB,5.3,36.0,13.9,3.888e6,3.575102880658436
5.176,254.0,914.4,757.5,36,EPRI HCB,5.2,36.0,19.8,5.976e6,3.3132530120481927
8.195,254.0,914.4,342.6,36,EPRI HCB,8.4,36.0,9.8,4.5e6,2.1777777777777776
8.195,254.0,914.4,343.7,36,EPRI HCB,8.4,36.0,12.1,4.752e6,2.5462962962962963
8.195,254.0,914.4,511.9,36,EPRI HCB,8.3,36.0,22.1,7.488e6,2.9513888888888893
8.195,254.0,914.4,512.7,36,EPRI HCB,8.3,36.0,23.2,7.452e6,3.113258185721954
8.195,254.0,914.4,211.2,36,EPRI HCB,8.4,36.0,8.8,2.9016e6,3.032809484422388
8.195,254.0,914.4,209.7,36,EPRI HCB,8.5,36.0,9.3,2.9016e6,3.2051282051282053
8.195,254.0,1219.2,208.7,36,EPRI HCB,8.5,48.0,5.5,2.8332e6,1.9412678243682058
8.195,254.0,1219.2,209.1,36,EPRI HCB,8.5,48.0,4.9,2.8152e6,1.7405512929809606
8.195,254.0,1219.2,209.6,36,EPRI HCB,8.5,48.0,3.4,2.7468e6,1.2378039900975681
8.195,254.0,1219.2,342.2,36,EPRI HCB,8.4,48.0,11.0,4.248e6,2.5894538606403015
8.195,254.0,1219.2,342.2,36,EPRI HCB,8.4,48.0,9.2,4.6008e6,1.9996522343940184
8.195,254.0,1219.2,510.7,36,EPRI HCB,8.3,48.0,14.7,6.8868e6,2.1345182087471684
8.195,254.0,1219.2,96.3,36,EPRI HCB,8.7,48.0,1.9,1.1484e6,1.6544757924068267
8.195,254.0,1219.2,508.7,36,EPRI HCB,8.4,48.0,12.3,1.1484e6,10.710553814002091
5.176,254.0,1219.2,342.6,36,EPRI HCB,5.3,48.0,4.3,2.4912e6,1.7260757867694283
5.176,254.0,1219.2,342.6,36,EPRI HCB,5.3,48.0,4.9,2.4588e6,1.9928420367659023
5.176,254.0,1219.2,510.4,36,EPRI HCB,5.2,48.0,6.0,3.6504e6,1.643655489809336
5.176,254.0,1219.2,763.2,36,EPRI HCB,5.2,48.0,9.1,5.4576e6,1.667399589563178
5.176,254.0,1219.2,758.6,36,EPRI HCB,5.2,48.0,19.4,7.0236e6,2.76211629363859
5.176,254.0,1219.2,758.0,36,EPRI HCB,5.2,48.0,18.6,6.8652e6,2.7093165530501664
5.176,254.0,1219.2,342.1,36,EPRI HCB,5.2,48.0,6.4,2.8404e6,2.253203774116322
5.176,254.0,1219.2,342.2,36,EPRI HCB,5.2,48.0,7.2,2.9808e6,2.4154589371980677
5.176,254.0,1219.2,509.9,36,EPRI HCB,5.2,48.0,11.4,4.5612e6,2.4993422783478034
5.176,254.0,1219.2,508.0,36,EPRI HCB,5.2,48.0,10.3,4.4136e6,2.3336958491934023
5.176,254.0,914.4,756.4,36,EPRI HCB,5.2,36.0,12.7,5.8464e6,2.172276956759715
5.176,254.0,914.4,758.6,36,EPRI HCB,5.2,36.0,17.4,5.922e6,2.9381965552178313
8.195,254.0,914.4,342.7,36,EPRI HCB,8.4,36.0,14.2,4.3992e6,3.227859610838334
8.195,254.0,1219.2,210.0,36,EPRI HCB,8.4,48.0,4.2,2.6064e6,1.6114180478821365
5.176,254.0,1219.2,749.2,36,EPRI HCB,5.177837,48.0,18.343308,6.5592e6,2.7965770215879986
5.176,254.0,1219.2,749.7,36,EPRI HCB,5.158804,48.0,15.580263,6.4116e6,2.430011697548194
5.176,254.0,1219.2,499.4,36,EPRI HCB,5.181419,48.0,10.779185,4.0896e6,2.6357553305946793
5.176,254.0,1219.2,499.6,36,EPRI HCB,5.186614,48.0,8.751652,3.8232e6,2.2890908139778197
5.176,254.0,1473.2,499.9,36,EPRI HCB,5.186479,58.0,6.708785,4.0032e6,1.675855565547562
5.176,254.0,1473.2,499.5,36,EPRI HCB,5.184401,58.0,6.453307,4.0032e6,1.612037120303757
5.176,254.0,1473.2,749.7,36,EPRI HCB,5.152987,58.0,9.571895,4.0032e6,2.3910609012789767
5.176,254.0,1473.2,749.4,36,EPRI HCB,5.158379,58.0,9.252316,5.8104e6,1.5923716095277434
3.005,254.0,1219.2,1247.2,36,EPRI HCB,2.946103,48.0,15.612827,6.048e6,2.581485945767196
3.005,254.0,914.4,1246.7,36,EPRI HCB,2.953038,36.0,23.97118,5.5692e6,4.304241183652948
3.005,254.0,1473.2,750.0,36,EPRI HCB,2.961539,58.0,3.850784,3.0708e6,1.2540002605184317
3.005,254.0,914.4,749.7,36,EPRI HCB,2.553443,36.0,17.358768,3.1032e6,5.593828306264502
3.005,254.0,1219.2,751.0,36,EPRI HCB,2.579638,48.0,9.169038,3.0348e6,3.0212989323843416
3.005,254.0,1473.2,1251.1,36,EPRI HCB,2.950098667,58.0,12.676852,5.292e6,2.395474678760393
32.83,114.3,1047.75,99.83333333,26,IEEE HCB,30.55507888,41.25,4.05,3.129543e6,1.2941186620538527
